id,name
1,LC04_opGlo_l_VT031479
2,LC06_opGlo_l_VT009855
3,LC09_opGlo_l_VT014209
4,LC10_opGlo_l_VT021760
5,LC11_opGlo_l_VT004968
6,LC12_opGlo_l_VT040919
7,LC13_opGlo_l_GMR50C10
8,LC15_opGlo_l_VT014207
9,LC16_opGlo_l_VT061079
10,LC17_opGlo_l_VT034259
11,LC18_opGlo_l_GMR92B11
12,LC20_opGlo_l_VT025718
13,LC21_opGlo_l_GMR85F11
14,LC22_LPLC4_opGlo_l_VT058688
15,LC24_opGlo_l_VT038216
16,LPC1_opGlo_l_GMR77A06
17,LPLC1_opGlo_l_GMR36B06
18,LPLC2_opGlo_l_VT007194
19,LPLC3_opGlo_l_VT044492
20,MC61_opGlo_l_VT016285
21,MC62_opGlo_l_GMR78G04
22,MC63_opGlo_l_GMR72C11
255,overlap
