id;driver;image
6381;VT020730.GAL4@attP2;TP10100501L33Sum01
6382;VT008515.GAL4@attP2;TP10100501L25Sum01
6386;VT044106.GAL4@attP2;TP10100501L06Sum01
6392;VT027734.GAL4@attP2;TP10100501L22Sum01
6393;VT026663.GAL4@attP2;TP10100401L04Sum01
6394;VT023824.GAL4@attP2;TP10100401L05Sum01
6396;VT009835.GAL4@attP2;TP10100401L12Sum01
6397;VT019729.GAL4@attP2;TP10100401L32Sum01
6398;VT001484.GAL4@attP2;TP10100401L30Sum01
6399;VT009839.GAL4@attP2;TP10100401L27Sum01
6400;VT009850.GAL4@attP2;TP10100401L21Sum01
6401;VT013972.GAL4@attP2;TP10100401L17Sum01
6402;VT010661.GAL4@attP2;TP10100401L16Sum01
6404;VT021429.GAL4@attP2;TP10100101L33Sum01
6405;VT037413.GAL4@attP2;TP10100101L31Sum01
6406;VT023560.GAL4@attP2;TP10100101L27Sum01
6412;VT007359.GAL4@attP2;TP10100101L09Sum01
6413;VT019735.GAL4@attP2;TP10100101L07Sum01
6415;VT012293.GAL4@attP2;TP10100101L04Sum01
6417;VT012320.GAL4@attP2;TP10092801L30Sum01
6418;VT020123.GAL4@attP2;TP10092801L27Sum01
6419;VT008686.GAL4@attP2;TP10092801L23Sum01
6420;VT038789.GAL4@attP2;TP10092801L20Sum01
6421;VT001488.GAL4@attP2;TP10092801L17Sum01
6422;VT025270.GAL4@attP2;TP10092801L15Sum01
6425;VT056875.GAL4@attP2;TP10092801L12Sum01
6427;VT016851.GAL4@attP2;TP10092801L08Sum01
6429;VT023954.GAL4@attP2;TP10092801L04Sum01
6874;VT004321.GAL4@attP2;TP10101101L34Sum01
6878;VT010559.GAL4@attP2;TP10101101L21Sum01
6881;VT016285.GAL4@attP2;TP10101101L15Sum01
6884;VT015972.GAL4@attP2;TP10101101L11Sum01
6885;VT026724.GAL4@attP2;TP10101101L08Sum01
6888;VT059223.GAL4@attP2;TP10091401L40Sum01
6890;VT013513.GAL4@attP2;TP10091401L34Sum01
6892;VT013595.GAL4@attP2;TP10091401L31Sum01
6897;VT013593.GAL4@attP2;TP10091401L21Sum01
6898;VT009855.GAL4@attP2;TP10091401L18Sum01
6900;VT008995.GAL4@attP2;TP10091401L11Sum01
6901;VT008194.GAL4@attP2;TP10091401L09Sum01
6903;VT061080.GAL4@attP2;TP10091401L06Sum01
6904;VT002055.GAL4@attP2;TP10091401L01Sum01
6922;VT018130.GAL4@attP2;TP10091301L33Sum01
6924;VT010262.GAL4@attP2;TP10091301L30Sum01
6926;VT057358.GAL4@attP2;TP10091301L27Sum01
6928;VT013509.GAL4@attP2;TP10091301L25Sum01
6929;VT008825.GAL4@attP2;TP10091301L22Sum01
6931;VT062916.GAL4@attP2;TP10091301L17Sum01
6932;VT002474.GAL4@attP2;TP10091301L16Sum01
6935;VT000850.GAL4@attP2;TP10091301L10Sum01
6936;VT001425.GAL4@attP2;TP10091301L09Sum01
6938;VT003276.GAL4@attP2;TP10091301L06Sum01
6941;VT062922.GAL4@attP2;TP10091301L02Sum01
7015;VT025980.GAL4@attP2;TP10101301L25Sum01
7016;VT032278.GAL4@attP2;TP10101301L22Sum01
7017;VT032411.GAL4@attP2;TP10101301L19Sum01
7024;VT014713.GAL4@attP2;TP10101301L12Sum01
7027;VT026396.GAL4@attP2;TP10101301L08Sum01
7029;VT013596.GAL4@attP2;TP10101301L04Sum01
7030;VT008926.GAL4@attP2;TP10101301L03Sum01
7033;VT038219.GAL4@attP2;TP10102701L01Sum01
7035;VT000983.GAL4@attP2;TP10102701L07Sum01
7036;VT032412.GAL4@attP2;TP10102701L09Sum01
7038;VT006204.GAL4@attP2;TP10102701L13Sum01
7039;VT016116.GAL4@attP2;TP10102701L15Sum01
7045;VT026992.GAL4@attP2;TP10102701L22Sum01
7048;VT060731.GAL4@attP2;TP10091001L02Sum01
7051;VT062252.GAL4@attP2;TP10091001L10Sum01
7053;VT016971.GAL4@attP2;TP10091001L13Sum01
7055;VT013590.GAL4@attP2;TP10091001L19Sum01
7056;VT062921.GAL4@attP2;TP10091001L25Sum01
7057;VT000847.GAL4@attP2;TP10090701L01Sum01
7060;VT000848.GAL4@attP2;TP10090701L04Sum01
7062;VT004194.GAL4@attP2;TP10090701L06Sum01
7063;VT007753.GAL4@attP2;TP10090701L09Sum01
7066;VT008822.GAL4@attP2;TP10090701L13Sum01
7070;VT009999.GAL4@attP2;TP10090701L17Sum01
7073;VT009675.GAL4@attP2;TP10090701L20Sum01
7075;VT013974.GAL4@attP2;TP10090701L23Sum01
7077;VT012323.GAL4@attP2;TP10090701L28Sum01
7079;VT008429.GAL4@attP2;TP10090601L02Sum01
7081;VT008157.GAL4@attP2;TP10090601L04Sum01
7082;VT008208.GAL4@attP2;TP10090601L07Sum01
7083;VT021849.GAL4@attP2;TP10090601L10Sum01
7087;VT008150.GAL4@attP2;TP10090601L14Sum01
7088;VT005106.GAL4@attP2;TP10090601L16Sum01
7090;VT007780.GAL4@attP2;TP10090601L21Sum01
7091;VT005107.GAL4@attP2;TP10090601L24Sum01
7092;VT000811.GAL4@attP2;TP10090601L26Sum01
7093;VT004193.GAL4@attP2;TP10090601L29Sum01
7095;VT007755.GAL4@attP2;TP10090601L32Sum01
7097;VT002062.GAL4@attP2;TP10090601L35Sum01
7099;VT002308.GAL4@attP2;TP10090601L38Sum01
7100;VT002480.GAL4@attP2;TP10090601L42Sum01
7102;VT043695.GAL4@attP2;CM16092010L7Sum01
7127;VT038205.GAL4@attP2;TP10102901L10Sum01
7130;VT017255.GAL4@attP2;TP10102901L05Sum01
7132;VT012291.GAL4@attP2;TP10102901L02Sum01
7134;VT026927.GAL4@attP2;TP10050501L9Sum01
7136;VT027946.GAL4@attP2;TP10050501L14Sum01
7137;VT046098.GAL4@attP2;TP10051401L22Sum01
7138;VT030279.GAL4@attP2;TP10051401L14Sum01
7139;VT045983.GAL4@attP2;TP10051701L2Sum01
7141;VT049903.GAL4@attP2;TP10051701L17Sum01
7142;VT006864.GAL4@attP2;TP10051701L16Sum01
7143;VT045105.GAL4@attP2;TP10051401L6Sum01
7145;VT062982.GAL4@attP2;TP10051901L8Sum01
7149;VT039977.GAL4@attP2;TP10051901L37Sum01
7150;VT009832.GAL4@attP2;TP10051901L34Sum01
7151;VT043138.GAL4@attP2;TP10051901L25Sum01
7153;VT047878.GAL4@attP2;TP10051901L21Sum01
7156;VT047884.GAL4@attP2;TP10051901L15Sum01
7157;VT055840.GAL4@attP2;TP10051901L12Sum01
7161;VT027001.GAL4@attP2;TP10053101L7Sum01
7164;VT037220.GAL4@attP2;TP10053101L35Sum01
7170;VT057276.GAL4@attP2;TP10053101L21Sum01
7172;VT043166.GAL4@attP2;TP10053101L11Sum01
7175;VT008453.GAL4@attP2;TP10060401L9Sum01
7180;VT028547.GAL4@attP2;TP10060401L27Sum01
7187;VT045101.GAL4@attP2;TP10060901L26Sum01
7188;VT043248.GAL4@attP2;TP10060901L21Sum01
7191;VT063562.GAL4@attP2;TP10060901L12Sum01
7192;VT038828.GAL4@attP2;TP10060901L11Sum01
7194;VT028869.GAL4@attP2;TP10060901L04Sum01
7196;VT032771.GAL4@attP2;TP10060901L02Sum01
7198;VT026326.GAL4@attP2;TP10061101L29Sum01
7204;VT038983.GAL4@attP2;TP10061101L17Sum01
7207;VT038830.GAL4@attP2;TP10061101L10Sum01
7208;VT032507.GAL4@attP2;TP10061101L05Sum01
7213;VT029571.GAL4@attP2;TP10061801L36Sum01
7217;VT025939.GAL4@attP2;TP10061801L30Sum01
7218;VT025779.GAL4@attP2;TP10061801L25Sum01
7221;VT027952.GAL4@attP2;TP10061801L16Sum01
7222;VT025805.GAL4@attP2;TP10061801L15Sum01
7224;VT047885.GAL4@attP2;TP10061801L10Sum01
7225;VT002854.GAL4@attP2;TP10061801L03Sum01
7227;VT047170.GAL4@attP2;TP10062101L35Sum01
7228;VT009684.GAL4@attP2;TP10062101L30Sum01
7231;VT057228.GAL4@attP2;TP10062101L25Sum01
7237;VT031588.GAL4@attP2;TP10062101L07Sum01
7239;VT007847.GAL4@attP2;TP10062101L02Sum01
7240;VT042336.GAL4@attP2;TP10062401L33Sum01
7242;VT038018.GAL4@attP2;TP10062401L27Sum01
7250;VT026693.GAL4@attP2;TP10062401L08Sum01
7251;VT036868.GAL4@attP2;TP10062401L04Sum01
7253;VT041693.GAL4@attP2;TP10070101L37Sum01
7254;VT043083.GAL4@attP2;TP10070101L34Sum01
7257;VT002215.GAL4@attP2;TP10070101L31Sum01
7260;VT008462.GAL4@attP2;TP10070101L26Sum01
7262;VT036857.GAL4@attP2;TP10070101L21Sum01
7265;VT010253.GAL4@attP2;TP10070101L17Sum01
7267;VT008470.GAL4@attP2;TP10070101L14Sum01
7268;VT008475.GAL4@attP2;TP10070101L09Sum01
7271;VT006542.GAL4@attP2;TP10070101L05Sum01
7273;VT048839.GAL4@attP2;TP10070501L40Sum01
7274;VT044343.GAL4@attP2;TP10070501L37Sum01
7276;VT039972.GAL4@attP2;TP10070501L33Sum01
7279;VT027010.GAL4@attP2;TP10070501L26Sum01
7280;VT032995.GAL4@attP2;TP10070501L25Sum01
7282;VT038786.GAL4@attP2;TP10070501L18Sum01
7285;VT044119.GAL4@attP2;TP10070501L08Sum01
7287;VT032272.GAL4@attP2;TP10070501L05Sum01
7288;VT020822.GAL4@attP2;TP10070701L39Sum01
7290;VT002834.GAL4@attP2;TP10070701L29Sum01
7292;VT027005.GAL4@attP2;TP10070701L25Sum01
7294;VT058730.GAL4@attP2;TP10070701L20Sum01
7297;VT021203.GAL4@attP2;TP10070701L17Sum01
7300;VT045969.GAL4@attP2;TP10070701L11Sum01
7302;VT002490.GAL4@attP2;TP10070701L08Sum01
7303;VT063982.GAL4@attP2;TP10070701L04Sum01
7305;VT026008.GAL4@attP2;TP10071401L40Sum01
7307;VT028161.GAL4@attP2;TP10071401L38Sum01
7311;VT024047.GAL4@attP2;TP10071401L34Sum01
7313;VT024045.GAL4@attP2;TP10071401L30Sum01
7317;VT026007.GAL4@attP2;TP10071401L23Sum01
7320;VT008689.GAL4@attP2;TP10071401L19Sum01
